model_name,score,rank
google/gemini-3-pro-preview,96.4,1
grok/grok-4-0709,96.2,2
openai/gpt-5-2025-08-07,96.0,3
anthropic/claude-opus-4-1-20250805-thinking,95.4,4
google/gemini-2.5-pro-exp-03-25,95.2,5
fireworks/gpt-oss-120b,94.8,6
openai/gpt-5-mini-2025-08-07,94.8,6
fireworks/qwen3-235b-a22b,94.6,8
openai/o3-2025-04-16,94.6,8
together/moonshotai/Kimi-K2-Instruct,94.2,10
fireworks/gpt-oss-20b,94.2,10
grok/grok-3-mini-fast-high-reasoning,94.2,10
openai/o4-mini-2025-04-16,94.2,10
zai/glm-4.5,94.0,14
anthropic/claude-sonnet-4-20250514-thinking,93.8,15
openai/gpt-5-nano-2025-08-07,93.8,15
anthropic/claude-opus-4-1-20250805,93.0,17
fireworks/deepseek-r1,92.2,18
google/gemini-2.5-flash-preview-04-17-thinking,91.8,19
openai/o3-mini-2025-01-31,91.8,19
anthropic/claude-3-7-sonnet-20250219-thinking,91.6,21
google/gemini-2.5-flash-preview-04-17,91.6,21
together/langston/nim/nvidia/llama-3.3-nemotron-super-49b-v1-42e84561-thinking,91.4,23
openai/o1-2024-12-17,90.4,24
anthropic/claude-opus-4-20250514,90.4,24
anthropic/claude-sonnet-4-20250514,90.3226,26
grok/grok-3,89.8,27
minimax/MiniMax-M2.1,89.0,28
google/gemini-2.0-flash-exp,89.0,28
fireworks/deepseek-v3-0324,88.6,30
openai/gpt-4.1-mini-2025-04-14,88.0,31
google/gemini-2.0-flash-001,88.0,31
openai/gpt-4.1-2025-04-14,87.2,33
mistralai/mistral-medium-2505,87.0,34
fireworks/llama4-maverick-instruct-basic,85.2,35
google/gemini-2.0-flash-thinking-exp-01-21,84.6,36
google/gemini-1.5-pro-002,82.8,37
fireworks/deepseek-v3,80.4,38
openai/gpt-4.1-nano-2025-04-14,80.2,39
together/meta-llama/Llama-4-Scout-17B-16E-Instruct,79.2,40
google/gemini-1.5-flash-002,78.8,41
grok/grok-2-1212,78.4,42
anthropic/claude-3-7-sonnet-20250219,76.8,43
cohere/command-a-03-2025,76.2,44
openai/gpt-4o-2024-08-06,75.2,45
mistralai/mistral-large-2411,74.4,46
openai/gpt-4o-2024-11-20,74.0,47
together/meta-llama/Llama-3.3-70B-Instruct-Turbo,73.4,48
openai/gpt-4o-mini-2024-07-18,72.6,49
anthropic/claude-3-5-sonnet-20241022,72.4,50
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,71.4,51
together/langston/nim/nvidia/llama-3.3-nemotron-super-49b-v1-42e84561,71.2,52
mistralai/mistral-small-2402,70.6,53
grok/grok-3-mini-fast-low-reasoning,70.2,54
mistralai/mistral-small-2503,68.4,55
together/meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,65.0,56
anthropic/claude-3-5-haiku-20241022,64.2,57
ai21labs/jamba-large-1.6,54.8,58
together/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,44.4,59
ai21labs/jamba-mini-1.6,25.4,60
